geo,time_period,population_density,hospital_beds,at_risk_of_poverty,low_work_intensity,gdp_current_prices,rd_expenditure,internet_access,tertiary_education
AL,2017,453.1611022949219,185.304443359375,23.7,12.115920066833496,35416.35546875,4.475132942199707,85.29631042480469,31.464872360229492
AL,2018,441.6425476074219,187.86572265625,23.4,12.105035781860352,35524.03125,4.072531700134277,88.18768310546875,31.458330154418945
AL,2019,441.6425476074219,186.6381072998047,23.0,11.548988342285156,35555.95703125,3.399549961090088,89.79987335205078,32.327083587646484
AL,2020,441.6425476074219,190.23977661132812,21.8,11.003384590148926,34712.90234375,9.725885391235352,90.93740844726562,30.994022369384766
AL,2021,457.301025390625,185.0491180419922,22.0,11.115615844726562,36248.90234375,4.292229652404785,92.39683532714844,33.651145935058594
AL01,2017,453.1611022949219,185.304443359375,25.6,12.678876876831055,34757.80078125,4.6103410720825195,84.75177001953125,30.84652328491211
AL01,2018,441.6425476074219,187.86572265625,25.1,12.600605964660645,35332.1953125,4.112873077392578,87.82852172851562,31.229326248168945
AL01,2019,441.6425476074219,189.72677612304688,25.9,12.778546333312988,34978.93359375,3.2566728591918945,89.05764770507812,31.74665069580078
AL01,2020,441.6425476074219,193.3284454345703,25.1,12.660679817199707,34964.01171875,4.170450210571289,90.15299987792969,31.08989143371582
AL01,2021,457.301025390625,188.13778686523438,25.5,13.00370979309082,36048.4453125,3.23679780960083,93.10247039794922,33.597957611083984
AL02,2017,453.1611022949219,182.2157745361328,20.8,11.675450325012207,34942.1953125,2.9467225074768066,85.90007019042969,32.02214813232422
AL02,2018,441.6425476074219,187.86572265625,23.6,12.073848724365234,35449.29296875,4.072531700134277,88.18768310546875,31.458330154418945
AL02,2019,441.6425476074219,186.6381072998047,22.7,10.969480514526367,35497.5625,3.3886682987213135,89.5351791381836,31.653167724609375
AL02,2020,441.6425476074219,190.23977661132812,21.3,11.003384590148926,34712.90234375,2.924607992172241,90.63953399658203,32.12940979003906
AL02,2021,457.301025390625,185.0491180419922,21.2,11.115615844726562,36238.4609375,2.929412841796875,92.61913299560547,34.995094299316406
AL03,2017,453.1611022949219,185.304443359375,25.6,12.678876876831055,34757.80078125,4.6103410720825195,84.75177001953125,30.84652328491211
AL03,2018,441.6425476074219,184.7770538330078,21.6,11.408547401428223,35074.29296875,4.385553359985352,86.94060516357422,32.4644660949707
AL03,2019,441.6425476074219,186.6381072998047,20.8,10.925607681274414,35187.75,2.9676191806793213,89.45614624023438,31.83136749267578
AL03,2020,262.3047180175781,185.98707580566406,19.5,7.356712818145752,34505.625,2.577044725418091,90.79161071777344,34.15107345581055
AL03,2021,277.96319580078125,181.7649383544922,19.9,9.825359344482422,35499.00390625,2.4044113159179688,91.51724243164062,32.30708312988281
AT,2003,99.15850830078125,161.39100646972656,13.2,6.146019458770752,22023.22265625,0.9196345806121826,80.75855255126953,21.512046813964844
AT,2004,101.45301818847656,161.39100646972656,13.0,6.2730937004089355,22147.115234375,0.9901991486549377,80.75855255126953,21.958843231201172
AT,2005,102.80826568603516,164.79052734375,12.6,5.820007801055908,22709.21875,0.9253957867622375,81.16938018798828,20.60285758972168
AT,2006,98.53536987304688,161.6118927001953,12.6,5.893398284912109,24931.86328125,1.3022927045822144,82.56137084960938,21.22596549987793
AT,2007,98.53536987304688,161.72207641601562,12.0,5.338837623596191,25557.599609375,1.2837773561477661,82.43927764892578,21.621810913085938
AT,2008,93.8265609741211,169.537353515625,15.2,7.444958686828613,24446.595703125,1.1270358562469482,83.48246002197266,21.483936309814453
AT,2009,85.21727752685547,165.22317504882812,14.5,6.5262579917907715,24887.17578125,1.0487877130508423,83.58426666259766,20.742197036743164
AT,2010,79.0817642211914,168.947509765625,14.7,6.516252040863037,24208.6796875,1.5440826416015625,82.0306396484375,19.44556999206543
AT,2011,79.0817642211914,168.9310302734375,14.5,7.092287540435791,26055.1171875,1.0953218936920166,84.18685913085938,20.60280418395996
AT,2012,79.0817642211914,167.43154907226562,14.4,7.2319440841674805,26306.78515625,1.1951942443847656,83.88614654541016,20.098899841308594
AT,2013,77.64102935791016,166.3510284423828,14.4,7.347399711608887,25640.73046875,1.0324196815490723,83.61552429199219,20.511911392211914
